Name,lat,lon,meanWind
BOULOGNE,50.733,1.6,5.60622494694648
LE TOUQUET PARIS PLAGE,50.515,1.627,4.25926317024522
ABBEVILLE,50.143,1.832,4.56846764346764
DUNKERQUE,51.05,2.333,6.02070133010883
LESQUIN,50.562,3.089,4.41729838956586
EPINOY,50.222,3.154,4.6235810700927
BARFLEUR (POINT),49.7,-1.267,7.78281327389797
LA HAGUE,49.717,-1.933,7.03016604047994
VIGITE DU HAUMET,49.65,-1.5,6.20432692307692
MAUPERTUS,49.65,-1.47,4.80237373148256
LONGUES,49.683,-0.717,2.48333333333333
CARPIQUET,49.173,-0.45,4.15302770103786
OCTEVILLE,49.534,0.088,5.69960949056269
PORT EN BESSIN,49.35,-0.767,5.84104382615021
ST GATIEN,49.365,0.154,3.75944218477629
ROUEN,49.467,1.283,4.225
VALLEE DE SEINE,49.384,1.175,4.23248211446741
EVREUX,49.017,1.217,4.12759209720566
VALOGNES (AUT),49.517,-1.5,3.09092875165205
DIEPPE,49.933,1.1,5.08894459764352
LE HAVRE-OCTEVILLE,49.533,0.083,5.25458024691358
TILLE,49.454,2.113,3.88756208315595
CREIL,49.254,2.519,3.72622792160658
ST. QUENTIN/ROUPY,49.817,3.2,4.26664347826087
CHAMPAGNE,49.31,4.05,3.65995242426363
CHARLEVILLE MEZIERES,49.784,4.647,2.63711685322733
FRESCATY,49.072,6.132,3.08491963441538
METZ NANCY LORRAINE,48.982,6.251,4.1759197714419
OUESSANT,48.483,-5.05,7.8990552668871
POINTE ST MATHIEU,48.333,-4.767,6.44143518518519
POINTE DU RAZ,48.033,-4.733,8.02808299929262
POINTE DE TOULINGUET,48.283,-4.633,7.09600997506234
LANDIVISIAU,48.53,-4.152,4.89465003607875
BRIGNOGAN,48.683,-4.333,6.67448057283719
POULMIC,48.282,-4.445,5.03421142661649
GUIPAVAS,48.448,-4.419,4.12366939146231
BATZ ISLAND,48.75,-4.017,7.00399295361127
LANNION,48.75,-3.467,3.1
PLOUMANAC'H PERROS GUIREC,48.833,-3.467,5.64066554541086
LANNION,48.754,-3.472,4.42186215803687
ROSTRENEN,48.233,-3.3,2.1
ARMOR,48.538,-2.854,4.16850048323545
PLEURTUIT,48.588,-2.08,4.43506644229095
GROUIN DE CANCALE,48.717,-1.85,4.28333333333333
ST JACQUES,48.07,-1.735,3.50697447569501
POINTE DU ROC,48.833,-1.617,6.28885460856151
LAVAL-ETRONNIER,48.033,-0.733,3.74434762129063
ALENCON/VALFRAMBERT,48.45,0.117,3.55976836686944
CHATEAUDUN,48.058,1.377,4.40190906999923
DREUX,48.733,1.367,8.2
CHARTRES/CHAMPOL,48.467,1.517,3.40703805593764
TRAPPES,48.767,2,2.53086579070859
TOUSSUS LE NOBLE,48.752,2.106,3.96229880313661
LA CROIX DU BOIS,48.75,2.067,3.76666666666667
VELIZY,48.774,2.202,3.94408759124088
BRETIGNY,48.6,2.333,1.1
ORLY,48.725,2.359,3.88758834683675
LE BOURGET,48.969,2.441,3.57025685425685
MAZAMET,43.556,2.289,4.99144736842105
VILLAROCHE,48.605,2.671,4.00221167062352
PARIS-MONTSOURIS,48.817,2.333,3.21894712158518
CHARLES DE GAULLE,49.013,2.55,4.47964718726656
DAMMARTIN EN GOELE,49.067,2.683,1
ROMILLY-SUR-SEINE,48.517,3.717,7.575
VATRY,48.776,4.184,4.60264721454203
BARBEREY,48.322,4.017,3.94369602763385
ROBINSON,48.636,4.899,3.40134866701516
CHAUMONT,48.117,5.133,7.61666666666667
MONTMEDY-MARVILLE,0,0,7.36666666666667
BAR LE DUC,48.767,5.15,3.1
EPINAL-DOGNEVILLE,48.2,6.433,2.74255852842809
ESSEY,48.692,6.23,2.93471851421938
OCHEY,48.583,5.955,3.82473243821755
BRETIGNY SUR ORGE,48.597,2.331,8.2
RECHICOURT-RADRA,48.717,6.583,1.5
MIRECOURT,48.325,6.07,2.6
SAVERNE,48.733,7.35,3.51666666666667
PHALSBOURG,48.817,7.2,5.1
ENTZHEIM,48.538,7.628,3.04503956177724
MEYENHEIM,47.917,7.4,3.78155002424438
PENMARCH,47.8,-4.367,6.88034598750601
PLUGUFFAN,47.975,-4.168,4.16974743269498
BEG MELEN,47.65,-3.5,7.0987849047786
LANN BIHOUE,47.761,-3.44,4.61744294364229
BELLE ILE-LE TALUT,47.3,-3.218,6.60670810367069
QUIBEKON / ST JULIEN,47.5,-3.117,9.93333333333333
VANNES/SENE,47.6,-2.717,3.90108670250058
CHEMOULIN,47.233,-2.3,6.53594491927825
